Timestamp,People_Count
17:53:17,0
17:53:19,0
17:53:21,0
17:53:23,0
17:53:25,0
17:53:27,0
17:53:29,0
17:53:31,0
17:53:33,0
17:53:35,0
17:53:38,0
17:53:40,0
17:53:42,0
17:53:44,0
17:53:46,0
17:53:48,0
17:53:50,0
17:53:52,0
17:53:54,0
17:53:56,0
17:53:59,0
17:54:01,0
17:54:03,0
17:54:05,0
17:54:07,0
17:54:09,0
17:54:11,0
17:54:13,0
17:56:01,2
17:56:03,2
17:56:05,2
17:56:07,2
17:56:09,1
17:56:11,1
17:56:13,1
17:56:15,1
17:56:18,1
17:56:20,1
17:56:22,1
17:56:24,1
17:56:26,1
17:56:28,1
17:56:30,1
17:56:32,1
17:56:34,1
17:56:36,1
17:56:39,1
17:56:41,1
17:56:43,1
17:56:45,1
17:56:47,1
17:56:49,1
17:56:51,1
17:56:53,1
18:00:06,1
18:00:08,1
18:00:10,1
18:00:12,1
18:00:14,1
18:00:16,0
18:00:18,0
18:00:20,0
18:00:23,0
18:00:25,0
18:00:27,0
18:00:29,0
18:00:31,0
18:00:33,1
18:00:35,1
18:00:37,1
18:00:39,0
18:00:41,0
18:00:43,0
18:00:45,0
18:00:48,0
18:00:50,0
18:00:52,0
18:00:54,0
18:00:56,0
18:00:58,1
18:01:00,1
18:01:02,1
18:01:04,1
18:01:07,1
18:01:09,1
18:01:11,1
18:01:13,1
18:01:15,1
18:01:17,1
18:01:19,1
18:01:21,1
18:01:23,1
18:01:25,1
18:01:28,1
18:01:30,1
18:01:32,1
18:01:34,1
18:01:36,1
18:01:38,1
18:01:40,1
18:01:42,1
18:01:44,1
18:01:46,1
18:01:48,1
18:01:50,1
18:01:52,1
18:01:54,1
18:01:57,1
18:01:59,1
18:02:01,1
18:02:03,1
18:02:05,1
18:02:07,1
18:02:09,1
18:02:11,1
18:02:13,1
18:02:15,1
18:02:17,1
18:02:19,1
18:02:21,1
18:02:23,1
18:02:25,1
18:02:28,1
18:02:30,1
18:02:32,1
18:02:34,1
18:02:36,1
18:02:38,1
18:02:40,1
18:02:42,1
18:02:44,1
18:02:46,1
18:02:48,1
18:02:50,1
18:02:52,1
18:02:55,1
18:02:57,1
18:02:59,1
18:03:01,1
18:03:03,1
18:03:05,1
18:03:07,1
18:03:09,1
18:03:11,1
18:03:13,1
18:03:15,1
18:03:17,1
18:03:19,1
18:03:21,1
18:03:23,1
18:03:25,1
18:03:27,1
18:03:29,1
18:03:31,1
18:03:33,1
18:03:35,1
18:03:37,1
18:03:39,1
18:03:41,1
18:03:43,1
18:03:45,1
18:03:48,1
18:03:50,1
18:03:52,1
18:03:54,1
18:03:56,1
18:03:58,1
18:04:00,1
18:04:02,1
18:04:04,1
18:04:06,1
18:04:08,1
18:04:10,1
18:04:12,1
18:04:14,0
18:04:16,1
18:04:18,1
18:04:20,1
18:04:22,1
18:04:25,1
18:04:27,1
18:04:29,1
18:04:31,1
18:04:33,1
18:04:35,1
18:04:37,1
18:04:39,1
18:04:41,1
18:04:43,1
18:04:45,1
18:04:47,1
18:04:49,1
18:04:51,1
18:04:53,1
18:04:55,1
18:04:58,1
18:05:00,1
18:05:02,1
18:05:04,1
18:05:06,1
18:05:08,1
18:05:10,1
18:05:12,1
18:05:14,1
18:05:16,1
18:05:19,1
18:05:21,1
18:05:23,1
18:05:25,1
18:05:27,1
18:05:29,1
18:05:31,1
18:05:33,1
18:05:35,1
18:05:37,1
18:05:39,1
18:05:42,1
18:05:44,1
18:05:46,1
18:05:48,1
18:05:50,0
18:05:52,0
18:05:54,0
18:05:56,0
18:05:58,0
18:06:00,0
18:06:02,0
18:06:04,0
18:06:07,0
18:06:09,0
18:06:11,0
18:06:13,0
18:06:15,0
18:06:17,0
18:06:19,0
18:06:21,0
18:06:23,0
18:06:25,0
18:06:27,0
18:06:29,0
18:06:31,0
18:06:33,0
18:06:36,0
18:06:38,0
18:06:40,0
18:06:42,0
18:06:44,0
18:06:46,0
18:06:48,0
18:06:50,0
18:06:52,0
18:06:54,0
18:06:56,0
18:06:58,0
18:07:00,0
18:07:02,0
18:07:04,0
18:07:07,0
18:07:09,0
18:07:11,0
18:07:13,0
18:07:15,0
18:07:17,0
18:07:19,0
18:07:21,0
18:07:23,0
18:07:25,0
18:07:27,0
18:07:29,0
18:07:32,0
18:07:34,0
18:07:36,0
18:07:38,0
18:07:40,0
18:07:42,0
18:07:44,0
18:07:46,0
18:07:48,0
18:07:50,0
18:07:52,0
18:07:55,0
18:07:57,0
18:07:59,0
18:08:01,0
18:08:03,0
18:08:05,0
18:08:07,0
18:08:09,0
18:08:11,0
18:08:13,0
18:08:15,0
18:08:17,0
18:08:19,0
18:08:21,0
18:08:24,0
18:08:26,0
18:08:28,0
18:08:30,0
18:08:32,0
18:08:34,0
18:08:36,0
18:08:38,0
18:08:40,0
18:08:42,0
18:08:44,0
18:08:46,0
18:08:48,0
18:08:50,0
18:08:52,0
18:08:54,0
18:08:57,0
18:08:59,0
18:09:01,0
18:09:03,0
18:09:05,0
18:09:07,0
18:09:09,0
18:09:11,0
18:09:13,0
18:09:15,0
18:09:17,0
18:09:19,0
18:09:22,1
18:09:24,1
18:09:26,1
18:09:28,1
18:09:30,1
18:09:32,1
18:09:34,1
18:09:36,1
18:09:39,1
18:09:41,1
18:09:43,1
18:09:45,1
18:09:47,0
18:09:49,1
18:09:51,1
18:09:53,1
18:09:55,1
18:09:57,1
18:10:00,1
18:10:02,1
18:10:04,1
18:10:06,1
18:10:08,1
18:10:10,1
18:10:12,1
18:10:14,1
18:10:16,1
18:10:19,1
18:10:21,1
18:10:23,1
18:10:25,1
18:10:27,1
18:10:30,1
18:10:32,1
18:10:34,1
18:10:36,1
18:10:38,1
18:10:40,0
18:10:42,0
18:10:44,1
18:10:47,1
18:10:49,1
18:10:51,1
18:10:53,1
18:10:55,1
18:10:57,1
18:10:59,1
18:11:02,1
18:11:04,1
18:11:06,1
18:11:08,1
18:11:10,1
18:11:12,1
18:11:14,1
18:11:16,1
18:11:18,1
18:11:20,1
18:11:22,1
18:11:25,1
18:11:27,1
18:11:29,1
18:11:31,1
18:11:33,1
18:11:35,1
